id,content,identifier,next_recommendation_id,module_id
1615,"The dismissal seems to be justified.

For a dismissal on the ground of abandonment to be valid, the employee must have failed to report for work without a justifiable reason. There must also be an overt act which manifests a clear intention on the part of the employee to sever the employer-employee relationship.

If both elements are present, the dismissal is valid. (CRC Agricultural Trading v. NLRC, G.R. No. 177664, 23 December 2009)

Note that the employer has the burden of proving abandonment. (Northwest Tourism Corp. v. Former Special Third Division of the Court of Appeals, G.R. No. 150591, 27 June 2005)

Note that in case of abandonment of work by the employee, no hearing is required, but the 2 written notices must still be given. (Intertranz Container Lines, Inc. v. Bautista, G.R. No. 187693, 13 July 2010) The notices must be sent to the employee’s last known address, per the company’s record. The employer need not look for the employee’s current whereabouts. (Agabon v. NLRC, G.R. No. 158693, 17 November 2004)",15,NULL,1
1617,"The dismissal seems to be justified.

For a dismissal on the ground of fraud to be valid, the employee must have committed an intentional deception and used dishonest methods for personal gain or to damage the employer. The fraud must also be work-related. (De la Cruz, Jr. v. NLRC, G.R. No. 145417, 11 December 2003)

If all of these characteristics are present, the dismissal would be valid. ",17,NULL,1
1619,"The dismissal seems to be justified.

For a dismissal on the ground of loss of trust and confidence to be valid, the employee must hold a position of trust and confidence, he must have intentionally committed an act that would justify the loss of such trust and confidence, the act must not be justified, and it must be related to his work. (Baguio Central University v. Gallente, G.R. No. 188267, 2 December 2013)

Absent any of these factors, the dismissal would be invalid.

Note that the loss of confidence must be genuine, not a mere afterthought. (Western University-Philippines v. Reyes, G.R. No. 208321, 30 July 2014)",19,NULL,1
1614,"The dismissal does not seem to be justified.

For a dismissal on the ground of abandonment to be valid, the employee must have failed to report for work without a justifiable reason. There must also be an overt act which manifests a clear intention on the part of the employee to sever the employer-employee relationship.

Absence of any of these elements means that the dismissal is not valid. (CRC Agricultural Trading v. NLRC, G.R. No. 177664, 23 December 2009)

Note that the employer has the burden of proving abandonment. (Northwest Tourism Corp. v. Former Special Third Division of the Court of Appeals, G.R. No. 150591, 27 June 2005)

Note that in case of abandonment of work by the employee, no hearing is required, but the 2 written notices must still be given. (Intertranz Container Lines, Inc. v. Bautista, G.R. No. 187693, 13 July 2010) The notices must be sent to the employee’s last known address, per the company’s record. The employer need not look for the employee’s current whereabouts. (Agabon v. NLRC, G.R. No. 158693, 17 November 2004)

To know what an illegally terminated employee is entitled to, proceed to MC Recommendation 34.

If you wish to file a case, proceed to WTF Question 1.",14,1735,1
1616,"The dismissal does not seem to be justified.

For a dismissal on the ground of fraud to be valid, the employee must have committed an intentional deception and used dishonest methods for personal gain or to damage the employer. The fraud must also be work-related. (De la Cruz, Jr. v. NLRC, G.R. No. 145417, 11 December 2003)

Absent any of these characteristics, the dismissal would be invalid.

To know what an illegally terminated employee is entitled to, proceed to MC Recommendation 34.

If you wish to file a case, proceed to WTF Question 1.",16,1735,1
1618,"The dismissal does not seem to be justified.

For a dismissal on the ground of loss of trust and confidence to be valid, the employee must hold a position of trust and confidence, he must have intentionally committed an act that would justify the loss of such trust and confidence, the act must not be justified, and it must be related to his work. (Baguio Central University v. Gallente, G.R. No. 188267, 2 December 2013)

Absent any of these factors, the dismissal would be invalid.

Note that the loss of confidence must be genuine, not a mere afterthought. (Western University-Philippines v. Reyes, G.R. No. 208321, 30 July 2014)

To know what an illegally terminated employee is entitled to, proceed to MC Recommendation 34.

If you wish to file a case, proceed to WTF Question 1.",18,1735,1
1646,"Without a written contract that states how long the probationary period is, you are deemed to be a regular employee. (ATCI Overseas Corporation v. CA, G.R. No. 143949, 9 August 2001)

Regular employees can only be terminated based on just or authorized causes. Go back to TE Question 5 or TE Question 6 to check if the employer used grounds such as or similar to those listed to justify your termination. If the employer did not use such grounds, then the dismissal would be invalid. 

To know what an illegally terminated employee is entitled to, proceed to MC Recommendation 34.

If you wish to file a case, proceed to WTF Question 1.",46,1735,1
1621,"The dismissal seems to be justified.

For a dismissal on the ground of the employee’s commission of a crime to be valid, such a crime must be committed against the person of the employer, his immediate family members, or his duly authorized representative. (Art. 297 (d), Labor Code)

Note that a final conviction of a criminal charge is not required for dismissal under this ground. (Concepcion v. Minex Import-Export Corporation, G.R. No. 153569, 24 January 2012)

Note that the crime charge need not be related to work. (Chan, Bar Reviewer on Labor Law, Chan Robles Publishing Company: 2017)",21,NULL,1
1622,"The dismissal seems to be valid.

The Labor Code provides that any union officer who knowingly participates in an illegal strike may be dismissed. (Art. 298 (a), 3rd paragraph, Labor Code)",22,NULL,1
1625,"The dismissal seems to be valid.

The Labor Code provides that any worker who participates in the commission of an illegal act during a strike may be dismissed. (Art. 298 (a), 3rd paragraph, Labor Code)",25,NULL,1
1628,"The dismissal seems to be valid.

The Labor Code provides that any worker who does not comply with the orders, prohibitions, or injunctions issued by the Secretary of Labor or by the National Labor Relations Commission may be dismissed and may even be subject to criminal prosecution. (Art. 278 (g), 2nd paragraph, Labor Code)

Any violation of such orders will lead to penalties such as dismissal and criminal prosecution.",28,NULL,1
1623,"The dismissal does not seem to be valid.

The Labor Code provides that any union officer who knowingly participates in an illegal strike may be dismissed. (Art. 298 (a), 3rd paragraph, Labor Code)

If the strike was valid or if the union officer participated in an illegal strike in good faith or without an awareness of its illegality, there may be a basis to contest the dismissal. 

Note that even if the strike was valid, participating in illegal acts during the strike can be a ground for dismissal.

To know what an illegally terminated employee is entitled to, proceed to MC Recommendation 34.

If you wish to file a case, proceed to WTF Question 1.",23,1735,1
1624,"The dismissal does not seem to be valid.

The Labor Code provides that any union officer who knowingly participates in an illegal strike may be dismissed. (Art. 298 (a), 3rd paragraph, Labor Code)

Mere participation in an illegal strike is not a ground for dismissal if the participant was not a union officer. (Art. 298 (a), 3rd paragraph, Labor Code)

Note that even if the strike was valid, participating in illegal acts during the strike can be a ground for dismissal. 

To know what an illegally terminated employee is entitled to, proceed to MC Recommendation 34.

If you wish to file a case, proceed to WTF Question 1.",24,1735,1
1626,"The dismissal does not seem to be valid.

The Labor Code provides that any worker who participates in the commission of an illegal act during a strike may be dismissed. (Art. 298 (a), 3rd paragraph, Labor Code)

If the employee did not participate in any illegal act or if such acts are legal, then there would be no basis to dismiss under this article.

To know what an illegally terminated employee is entitled to, proceed to MC Recommendation 34.

If you wish to file a case, proceed to WTF Question 1.",26,1735,1
1627,"The dismissal does not seem to be valid.

The Labor Code provides that any worker who does not comply with the orders, prohibitions, or injunctions issued by the Secretary of Labor or by the National Labor Relations Commission may be dismissed and may even be subject to criminal prosecution. (Art. 278 (g), 2nd paragraph, Labor Code)

Absent any violation of such orders, a dismissal on that ground will not be valid.

To know what an illegally terminated employee is entitled to, proceed to MC Recommendation 34.

If you wish to file a case, proceed to WTF Question 1.",27,1735,1
1643,"The dismissal does not seem to be valid.

The Labor Code provides that in cases where business operations were suspended bona fide for a period not exceeding 6 months, the employer must reinstate the employee to his former position without loss of seniority rights. However, the employee must indicate his desire to resume work not later than 1 month from the resumption of business operations. (Art. 301, Labor Code)

If the suspension was not bona fide, then the termination would not be valid. (Sec. 12, Title I, Book VI, Omnibus Rules Implementing the Labor Code)

If the bona suspension of operations did not exceed 6 months and the employee indicated his desire to resume work within 1 month from its resumption, then the termination would not be valid.
 
To know what an illegally terminated employee is entitled to, proceed to MC Recommendation 34.

If you wish to file a case, proceed to WTF Question 1.",43,1735,1
1630,"The dismissal seems to be valid.

The Labor Code provides that an employee may be dismissed for not complying with the union security clause - a provision in the Collective Bargaining Agreement which requires membership in the union serving as the collective bargaining agent. (Art. 259 (e), Labor Code) 

The requirement for membership in the collective bargaining agent does not apply in the following circumstances:

a)	When the employee is a bona fide member of a religion which does not permit its congregation members to be part of unions; (Victoriano v. Elizalde Rope Workers Union, G.R. No. L-25246, 12 September 1974)
b)	When the employee was already a member of another union at the time of the Collective Bargaining Agreement’s signing; (Art. 259 (e), Labor Code) 
c)	When the Collective Bargaining Agreement expressly provides for exceptions; or
d)	When the employee was denied admission into the collective bargaining agent despite being qualified to be a member of the same. (Salunga v. Court of Industrial Relations, G.R. No. L-22456, 27 September 1967)

The employee’s dismissal must be requested by the collective bargaining agent. The employer cannot initiate the employee’s dismissal on its own based on the ground that he is not a member of the collective bargaining agent.  The employer must also conduct an independent investigation of its own to see if there was really a violation of the union security clause that would justify termination.

If none of the exceptions exist, the dismissal would be valid.",30,NULL,1
1632,"The dismissal seems to be valid.

For a dismissal on the ground of employee’s disease to be valid, he must actually be suffering from a disease which makes his continued employment either prohibited by law, prejudicial to his health, or to those of his co-employees. It is also required that a competent public health authority has issued a medical certificate that the disease is of such a nature or at such a stage that it cannot be cured within 6 months, even with proper medical treatment. (Department Order No. 147-15, series of 2015; Deoferio v. Intel Technology Philippines, Inc., G.R. No. 202996, 18 June 2014)

If all of these factors are present, the dismissal would be justified.

Nevertheless, you are still entitled to separation pay equivalent to at least 1 month or to 1/2 month salary for every year of service, whichever is greater. A fraction of at least 6 months is considered as 1 year for this purpose. (Art. 299, Labor Code)

If you wish to file a case, proceed to WTF Question 1.",32,NULL,1
1636,"The dismissal seems to be valid. 

For a dismissal on the ground that the employer installed labor-saving devices to be valid, such installation must have been done in good faith and with the purpose of saving on cost, enhancing efficiency, or some other justifiable economic reason. (Chan, Bar Reviewer on Labor Law, Chan Robles Publishing Company: 2017)

If all of these characteristics are present, the dismissal would be valid.",36,NULL,1
1644,"The dismissal seems to be valid.

The Labor Code provides that in cases where business operations were suspended bona fide for a period not exceeding 6 months, the employer must reinstate the employee to his former position without loss of seniority rights. However, the employee must indicate his desire to resume work not later than 1 month from the resumption of business operations. (Art. 301, Labor Code)

If the employee failed to indicate his desire to resume work within 1 month from its resumption, then the termination would be valid.",44,NULL,1
1633,"The dismissal seems to be procedurally defective.

For a dismissal to be valid under certain circumstances, both the employee and the appropriate Regional Office of the Department of Labor and Employment must be given written notices at least one month before the intended date of the termination. The notices must specify the grounds for the termination and that the employer was going to pay the separation pay required by the Labor Code. (Art. 298, Labor Code)

Failure to comply with this means that procedural due process was not accorded to the employee.

IMPORTANT: While there may have been a violation of procedural due process, a dismissal may still be upheld if there exists a proper cause for the same. (Serrano v. NLRC, G.R. No. 117040, 27 January 2000) The remedy in such a case is to seek damages, but not reinstatement. The Supreme Court has held that nominal damages in the amount of P50,000.00 may be sought for violations of due process in termination cases involving authorized causes. (Jaka Food Processing Corporation v. Pacot, G.R. No. 151378, 28 March 2005)

To help determine if a proper cause for dismissal existed, proceed to TE Question 70.

To know what an illegally terminated employee is entitled to, proceed to MC Recommendation 34.

If you wish to file a case, proceed to WTF Question 1.",33,1735,1
1634,"The dismissal does not seem to be valid.

For a dismissal to be valid under certain circumstances, the employer must have effected the termination in good faith and resorted to termination as a last resort – there being no other option available to the employer after cost-cutting measures. The proper separation pay must have also been given to the affected employee. Finally, the employer must have also used a fair and reasonable criteria and determining what positions would be affected by the termination. (Lambert Pawnbrokers and Jewelry Corp. v. Binamira, G.R. No. 170464, 12 July 2010)

Failure to observe these requirements means that the dismissal would be invalid.

To know what an illegally terminated employee is entitled to, proceed to MC Recommendation 34.

If you wish to file a case, proceed to WTF Question 1.",34,1735,1
1635,"The dismissal does not seem to be valid.

For a dismissal on the ground that the employer installed labor-saving devices to be valid, such installation must have been done in good faith and with the purpose of saving on cost, enhancing efficiency, or some other justifiable economic reason. (Chan, Bar Reviewer on Labor Law, Chan Robles Publishing Company: 2017)

Absent these characteristics, the dismissal would be invalid.

To know what an illegally terminated employee is entitled to, proceed to MC Recommendation 34.

If you wish to file a case, proceed to WTF Question 1.",35,1735,1
1637,"The dismissal seems to be valid.

For a dismissal on the ground of redundancy to be valid, any of the following factors must be present:

a)	The services of employees are in excess of what is reasonably demanded by the actual requirements of the enterprise; (Nippon Housing Phil., Inc. v. Leynes, G.R. No. 177816, 3 August 2011)
b)	The position is superfluous because of a number of factors, such as over-hiring of workers, decreased volume of business, dropping of a particular product line or service activity previously manufactured or undertaken by the enterprise or phasing out of service activity previously undertaken by the business; (Nippon Housing Phil., Inc. v. Leynes, G.R. No. 177816, 3 August 2011)
c)	There is duplication of work; (Caltex [Phils.], Inc. v. NLRC, G.R. No. 159641, 15 October 2007) or
d)	It is a valid cost-cutting or streamlining measure. (Maya Farms Employees Organization b. NLRC, G.R. No. 106256, 28 December 1994)

The presence of even one of these factors would justify the dismissal.

Note that the burden of proving the validity of a redundancy program as a ground for termination lies with the employer. In the absence of such proof, the termination should be declared illegal. (Lambert Pawnbrokers and Jewelry Corp v. Binamira, G.R. No. 170464, 12 July 2010) ",37,NULL,1
1640,"The dismissal seems to be valid.

For a dismissal on the ground of retrenchment to be valid, the employer must have experienced or will be facing imminent and substantial business losses. Retrenchment must thus be necessary and likely to effectively prevent such losses. The losses must also be proved by externally audited financial statements. (Andrada v. NLRC, G.R. No. 173231, 28 December 2007)

If all of these characteristics are present, the dismissal would be justified.",40,NULL,1
1642,"The dismissal seems to be valid.

Closure of business brought about by serious business losses or financial reverses will give rise to a valid dismissal wherein the employer is not required to provide separation pay. (North Davao Mining Corporation v. NLRC, G.R. No. 112546, 13 March 1996) However, due to the implications of this benefit, such serious business losses or financial reverses must be proved by competent evidence such as audited financial statements. (Danzas Intercontinental, Inc. v. Daguman, G.R. No. 154368, 15 April 2005)

Note that closure may nevertheless constitute an unfair labor practice if it is resorted to as a ruse or scheme to get rid of employees on account of their union activities. (St. John Colleges, Inc. v. St. John Academy Faculty and Employees Union, G.R. No. 167892, 27 October 2006) The burden of proving that the closure or cessation of business operations is bona fide falls upon the employer. (J.A.T. General Services v. NLRC, G.R. No. 148340, 26, January 2004)

If you believe that the closure was an act that qualifies as unfair labor practice, please proceed to [ULPQ: Unfair Labor Practice Questions]",42,NULL,1
1639,"The dismissal does not seem to be valid.

For a dismissal on the ground of retrenchment to be valid, the employer must have experienced or will be facing imminent and substantial business losses. Retrenchment must thus be necessary and likely to effectively prevent such losses. The losses must also be proved by externally audited financial statements. (Andrada v. NLRC, G.R. No. 173231, 28 December 2007)

To know what an illegally terminated employee is entitled to, proceed to MC Recommendation 34.

Absent any of these characteristics, the dismissal would not be justified.",39,1735,1
1645,"Without a written contract that states that you are a probationary employee, you are deemed to be a regular employee. (San Miguel Corp. v. Del Rosario, G.R. Nos. 168194, 9 August 2001) 

Regular employees can only be terminated based on just or authorized causes. Go back to TE Question 5 or TE Question 6 to check if the employer used grounds such as or similar to those listed to justify your termination. If the employer did not use such grounds, then the dismissal would be invalid. 

To know what an illegally terminated employee is entitled to, proceed to MC Recommendation 34.

If you wish to file a case, proceed to WTF Question 1.",45,1735,1
1649,"49.	The dismissal seems to be valid, but the employer may be liable for damages.

When there is a valid cause for termination, but the employee’s due process was violated – such as when company rules of procedure were not followed – the termination would be valid, but the employer would nevertheless be liable for damages. (Abbott Laboratories, Philippines v. Alcaraz, G.R. No. 192571, 23 July 2013)

It seems that there exists a valid cause for termination due to failure to meet the standards to become a regular employee. However, the non-compliance with company procedure means that due process was violated; thus, the employer would be liable to pay damages.

If the dismissal of the probationary employee proceeded from a failure to comply with the standards required for regularization, the dismissal process would be deemed to have been effectively initiated by an act imputable to the employee – akin to dismissals due to just causes under Art. 296 of the Labor Code. In such cases, the amount of nominal damages due would be ₱30,000.00. (Abbott Laboratories, Philippines v. Alcaraz, G.R. No. 192571, 23 July 2013)

If you wish to file a case, proceed to WTF Question 1.",49,NULL,1
1653,"The dismissal seems to be valid.

Probationary employees may be terminated for failing to meet the standards required to become a regular employee. These standards must be explained to him at the start of his employment. The employee must not be allowed to work after the probationary period; consequently, a written notice of termination must be served before the expiry of the probationary period. (Art. 296, Labor Code)

If all of these requirements were met, the dismissal of the probationary employee would be valid.",53,NULL,1
1648,"The dismissal seems to be invalid. 

Probationary employees may be terminated for failing to meet the standards required to become a regular employee. However, such standards must have been made known to him at the start of his employment. (Art. 296, Labor Code)

Failing to inform the employee about the standards required at the start of his employment would be a violation of his due process. The employee would be deemed to be a regular employee. (Section 6(d), Rule I, Book VI, Implementing Rules of the Labor Code) 

Note that this requirement does not apply in cases where the job is self-descriptive, such as in the case of maids, cooks, drivers, or messengers. (Robinson''s Galleria/Robinsons Supermarket Corporation v. Ranchez, G.R. No. 177937, 19 January 2011)

Regular employees can only be terminated based on just or authorized causes. Go back to TE Question 5 or TE Question 6 to check if the employer used grounds such as or similar to those listed to justify your termination. If the employer did not use such grounds, then the dismissal would be invalid. 

To know what an illegally terminated employee is entitled to, proceed to MC Recommendation 34.

If you wish to file a case, proceed to WTF Question 1.",48,1735,1
1650,"The dismissal does not seem to be valid.

The written notice of termination must be given to the employee within the probationary period. (Pasamba v. NLRC, G.R. No. 168421, 8 June 2007) An employee who is allowed to work after a probationary period is considered a regular employee. (Art. 296, Labor Code)

Regular employees can only be terminated based on just or authorized causes. Go back to TE Question 5 or TE Question 6 to check if the employer used grounds such as or similar to those listed to justify your termination. If the employer did not use such grounds, then the dismissal would be invalid.

To know what an illegally terminated employee is entitled to, proceed to MC Recommendation 34.

If you wish to file a case, proceed to WTF Question 1.",50,1735,1
1651,"The dismissal does not seem to be valid.

An employee who is allowed to work after a probationary period is considered a regular employee. (Art. 296, Labor Code)

Regular employees can only be terminated based on just or authorized causes. Go back to TE Question 5 or TE Question 6 to check if the employer used grounds such as or similar to those listed to justify your termination. If the employer did not use such grounds, then the dismissal would be invalid.

To know what an illegally terminated employee is entitled to, proceed to MC Recommendation 34.

If you wish to file a case, proceed to WTF Question 1.",51,1735,1
1652,"The dismissal does not seem to be valid. 

Repetitive rehiring of a probationary employee has been interpreted by the Supreme Court as a sign that the employee has become a regular employee. (Octaviano v. NLRC, G.R. No. 88636, 3 October 1991)

Regular employees can only be terminated based on just or authorized causes. Go back to TE Question 5 or TE Question 6 to check if the employer used grounds such as or similar to those listed to justify your termination. If the employer did not use such grounds, then the dismissal would be invalid.

To know what an illegally terminated employee is entitled to, proceed to MC Recommendation 34.

If you wish to file a case, proceed to WTF Question 1.",52,1735,1
1654,"The dismissal does not seem to be valid.

A notice of termination grounded on the failure to meet the standards required to become a regular employee must be in writing and given to the employee within a reasonable time from the effective date of termination. (Sec. 2 (d), Rule I, Book VI, Implementing Rules of the Labor Code) The written notice of termination must be given to the employee within the probationary period. (Pasamba v. NLRC, G.R. No. 168421, 8 June 2007) An employee who is allowed to work after a probationary period is considered a regular employee. (Art. 296, Labor Code)

Failing to serve such a written notice of termination within the probationary period would mean that the employee has become a regular employee.  

Regular employees can only be terminated based on just or authorized causes. Go back to TE Question 5 or TE Question 6 to check if the employer used grounds such as or similar to those listed to justify your termination. If the employer did not use such grounds, then the dismissal would be invalid.

To know what an illegally terminated employee is entitled to, proceed to MC Recommendation 34.

If you wish to file a case, proceed to WTF Question 1.",54,1735,1
1656,"The dismissal seems to be valid.

Project employees are co-terminus with the project, undertaking, or phase thereof assigned to him and are thus not entitled to separation pay due to the completion of the same. (Salazar v. NLRC, G.R. No. 1092010, 17 April 1996)

In cases of termination based on completion, advance notice of termination is not required. (Cioco v. C.E. Construction Corporation, G.R. No. 156748)",56,NULL,1
1661,"The dismissal seems to be valid.

Seasonal workers who have been employed for only 1 season do not attain the status of regular seasonal workers. (Hacienda Fatima v. National Federation of Sugarcane Workers – Food and General Trade, G.R. No. 149440, 28 January 2003) In this case, the employer is not obliged to re-hire them in the next season.",61,NULL,1
1665,"The dismissal seems to be valid.

In relation to casual employees, security of tenure attaches only to those who become regular employees after working for a continuous or broken period of at least 1 year. (Art. 295, Labor Code) 

Casual employees who have not yet worked for such a period do not seem to have security of tenure.",65,NULL,1
1666,Please consult a lawyer to better identify your type of employment. ,66,NULL,1
1657,"You seem to be a regular employee.

Project employees are presumed to have become regular employees if they are allowed to work beyond the completion of the project, undertaking, or phase thereof to which they are assigned. Being regular employees, they can no longer be terminated on the basis of completion. (Dacuital v. L.M. Camus Engineering Corp., G.R. No. 176748, 1 September 2010)

Regular employees can only be terminated based on just or authorized causes. Go back to TE Question 5 or TE Question 6 to check if the employer used grounds such as or similar to those listed to justify your termination. If the employer did not use such grounds, then the dismissal would be invalid.

To know what an illegally terminated employee is entitled to, proceed to MC Recommendation 34.

If you wish to file a case, proceed to WTF Question 1.",57,1735,1
1658,"The dismissal does not seem to be valid.

Project employees enjoy the security of tenure during the term of their project employment. (Tomas Lao Construction v. NLRC, G.R. No. 116781, 5 September 1997) Within this period or prior to the completion of the project, undertaking, or phase thereof to which they were assigned, they can only be terminated based on just or authorized causes. 

Go back to TE Question 5 or TE Question 6 to check if the employer used grounds such as or similar to those listed to justify your termination. If the employer did not use such grounds, then the dismissal would be invalid.

To know what an illegally terminated employee is entitled to, proceed to MC Recommendation 34.

If you wish to file a case, proceed to WTF Question 1.",58,1735,1
1659,"You seem to be a regular employee.

Without a written contract that establishes a seasonal employment, the employee will be deemed to be a regular employee. (Chan, Bar Reviewer on Labor Law, Chan Robles Publishing Company: 2017)

Regular employees can only be terminated based on just or authorized causes. Go back to TE Question 5 or TE Question 6 to check if the employer used grounds such as or similar to those listed to justify your termination. If the employer did not use such grounds, then the dismissal would be invalid.

To know what an illegally terminated employee is entitled to, proceed to MC Recommendation 34.

If you wish to file a case, proceed to WTF Question 1.",59,1735,1
1660,"The dismissal does not seem to be valid.

Seasonal workers who have been employed for more than 1 season by the same employer become regular seasonal workers. (Hacienda Fatima v. National Federation of Sugarcane Workers – Food and General Trade, G.R. No. 149440, 28 January 2003) During off-season, they are temporarily laid off, but are re-employed during the season when their services are needed. They are not separated from service, but merely considered as being on leave without pay until they are re-employed. (Abasolo v. NLRC, G.R. No. 118475, 29 November 2000) The employer should re-hire regular seasonal workers in the next season.

To know what an illegally terminated employee is entitled to, proceed to MC Recommendation 34.

If you wish to file a case, proceed to WTF Question 1.",60,1735,1
1662,"You seem to be a regular employee.

Without a written contract that establishes a casual employment, the employee will be deemed to be a regular employee. (Chan, Bar Reviewer on Labor Law, Chan Robles Publishing Company: 2017)

Regular employees can only be terminated based on just or authorized causes. Go back to TE Question 5 or TE Question 6 to check if the employer used grounds such as or similar to those listed to justify your termination. If the employer did not use such grounds, then the dismissal would be invalid.

To know what an illegally terminated employee is entitled to, proceed to MC Recommendation 34.

If you wish to file a case, proceed to WTF Question 1.",62,1735,1
1664,"You seem to be a regular employee.

Repeated rehiring of casual employees have previously been held as causing such employees to become regular. (Tan v. Lagrama, G.R. No. 151228, 15 August 2002)

Regular employees can only be terminated based on just or authorized causes. Go back to TE Question 5 or TE Question 6 to check if the employer used grounds such as or similar to those listed to justify your termination. If the employer did not use such grounds, then the dismissal would be invalid.

To know what an illegally terminated employee is entitled to, proceed to MC Recommendation 34.

If you wish to file a case, proceed to WTF Question 1.",64,1735,1
1669,"The dismissal seems to be valid.

The expiration of the period automatically terminates the fixed-term employment. Notice of termination is not necessary in fixed-term employment. (Pangilinan v. General Milling Corporation, G.R. No. 149329, 12 July 2004)",69,NULL,1
1672,"The resignation does not seem to be valid.

For a voluntary resignation to be valid and binding, the employee must have given a written resignation letter to the employer at least 30 days prior to the intended date of resignation. (Art 300 (a), Labor Code) The employer must have also given his written acceptance of the resignation. (Shie Jie Corp. v. National Federation of Labor, G.R. No. 153148, 15 July 2005) 

If the employee did not submit a written resignation letter, his resignation will not have any effect. ",72,NULL,1
