id,answer,instructions,annex_id,recommendation_id,next_question_id,question_id
1127,"No, I do not work in such an establishment.",NULL,NULL,NULL,1047,1046
1128,"Yes, I am a seasonal worker.",NULL,NULL,NULL,1048,1047
1129,"No, I am not a seasonal worker.",NULL,NULL,NULL,1050,1047
1130,"Yes, I am.",NULL,NULL,NULL,1049,1048
1131,"No, I am not.",NULL,NULL,1723,NULL,1048
1132,"Yes, I did.",NULL,NULL,1723,NULL,1049
1133,"No, I did not.",NULL,NULL,1722,NULL,1049
1134,"Yes, I am.",NULL,NULL,NULL,1201,1050
1135,"No, I am not.",NULL,NULL,NULL,1202,1050
1136,"Yes, I am.",NULL,NULL,1724,NULL,1201
1137,"No, I am not. ",NULL,NULL,1725,NULL,1201
1139,"No, I do not.",NULL,NULL,1723,NULL,1202
1166,"No, I do not work in such an establishment.",NULL,NULL,NULL,NULL,1213
1185,"Yes, I have already rendered at least 1 year of service.",NULL,NULL,NULL,NULL,1223
1141,"No, my work with the employer has not yet reached 1 month for the calendar year.",NULL,NULL,1726,NULL,1203
1142,"Yes, the employer has been paying 13th month pay or its equivalent since November 16, 1987 or earlier.",NULL,NULL,NULL,1205,1204
1143,"No, the employer has not been paying 13th month pay from a time before November 16, 1987.",NULL,NULL,NULL,1206,1204
1144,"Yes, he has.",NULL,NULL,1727,NULL,1205
1145,"No, the payments amount to less than 1/12 of the basic salary for the calendar year.",NULL,NULL,1728,NULL,1205
1146,"Yes, I am separated from service.",NULL,NULL,1729,NULL,1206
1147,"No, I am not separated from service.",NULL,NULL,1730,NULL,1206
1148,"Yes, I was terminated due to at least one of those causes.",NULL,NULL,1731,NULL,1207
1149,"No, I was not terminated because of those causes.",NULL,NULL,NULL,1208,1207
1151,"Yes, I was terminated because of at least one of those causes.",NULL,NULL,1732,NULL,1208
1152,"No, I was not terminated because of those causes.",NULL,NULL,NULL,1209,1208
1153,I’m not sure if I was validly terminated under one of those causes.,NULL,NULL,NULL,1229,1208
1154,"Yes, I was terminated because the company closed due to serious business losses.",NULL,NULL,1733,NULL,1209
1155,"No, I was not terminated because of this.",NULL,NULL,NULL,1210,1209
1156,I’m not sure if I was validly terminated because of this reason.,NULL,NULL,NULL,1229,1209
1157,"Yes, I was terminated because of a disease I am suffering from.",NULL,NULL,1734,NULL,1210
1158,"No, I was not terminated because of this.",NULL,NULL,NULL,1211,1210
1159,I’m not sure if I was validly terminated because of this reason.,NULL,NULL,NULL,1228,1210
1160,"Yes, I was.",NULL,NULL,1735,NULL,1211
1161,"No, I was not.",NULL,NULL,1736,NULL,1211
1162,I’m not sure if I was illegally dismissed.,NULL,NULL,NULL,1596,1211
1164,"No, I do not work in such an establishment.",NULL,NULL,NULL,1213,1212
1165,"Yes, I work in such an establishment.",NULL,NULL,1737,NULL,1213
1167,"Yes, I work in such an establishment.",NULL,NULL,1737,NULL,1214
1168,"No, I do not work in such an establishment.",NULL,NULL,NULL,1215,1214
1169,"Yes, I am an underground mining employee.",NULL,NULL,NULL,1216,1215
1170,"No, I am not an underground mining employee.",NULL,NULL,NULL,1218,1215
1172,"No, I have not rendered service for at least 5 years.",NULL,NULL,1738,NULL,1216
1173,"Yes, I have reached such age.",NULL,NULL,1739,NULL,1217
1174,"No, I have not yet reached such age.",NULL,NULL,1738,NULL,1217
1175,"Yes, I have rendered service for at least 5 years.",NULL,NULL,NULL,1219,1218
1176,"No, I have not rendered service for at least 5 years.",NULL,NULL,1740,NULL,1218
1177,"Yes, I have reached such age.",NULL,NULL,1741,NULL,1219
1178,"No, I have not reached such age.",NULL,NULL,1740,NULL,1219
1179,"Yes, I am employed in such an establishment.",NULL,NULL,1742,NULL,1220
1181,"Yes, I am.",NULL,NULL,1742,NULL,1221
1182,"No, I am not.",NULL,NULL,NULL,1222,1221
1183,"Yes, I am. ",NULL,NULL,1742,NULL,1222
1184,"No, I am not.",NULL,NULL,NULL,1223,1222
1186,"No, I have not yet rendered 1 year of service.",NULL,NULL,1743,NULL,1223
1187,"Yes, more than 4 years have elapsed.",NULL,NULL,NULL,1225,1224
1188,"No, 4 years have not yet elapsed.",NULL,NULL,NULL,1226,1224
1190,"No, I was not able to institute a claim before 4 years had passed.",NULL,NULL,1603,NULL,1225
1191,I was dismissed by my employer.,NULL,NULL,NULL,1227,1226
1192,I resigned.,NULL,NULL,NULL,1596,1226
1193,"Yes, I was terminated under such a program.",NULL,NULL,1606,NULL,1227
1194,"No, I was not terminated under such a program.",NULL,NULL,NULL,1228,1227
1195,"Yes, I was terminated based on one of those grounds.",NULL,NULL,NULL,1230,1228
1196,"No, I was not terminated based on any of those grounds.",NULL,NULL,NULL,1229,1228
1197,"Yes, I was terminated based on one of those grounds.",NULL,NULL,NULL,1433,1229
1198,"No, I was not terminated based on any of those grounds.",NULL,NULL,NULL,1563,1229
1199,"Yes, I was given such a notice.",NULL,NULL,NULL,1231,1230
1201,"Yes, I was.",NULL,NULL,NULL,1232,1231
1202,"No, I was not.",NULL,NULL,1607,NULL,1231
1203,"Yes, I was.",NULL,NULL,NULL,1233,1232
1204,"No, I was not.",NULL,NULL,1607,NULL,1232
1205,Serious misconduct in connection with work. ,NULL,NULL,NULL,1234,1233
1207,Gross and habitual neglect of duties.,NULL,NULL,NULL,1242,1233
1208,Abandonment of work.,NULL,NULL,NULL,1244,1233
1209,Fraud in relation to work.,NULL,NULL,NULL,1247,1233
1210,Willful breach of the employer or his duly authorized representative’s trust.,NULL,NULL,NULL,1401,1233
1211,Commission of a crime or offense against the person of the employer or any immediate member of his family or his duly authorized representatives.,NULL,NULL,NULL,1406,1233
1212,Participation in the commission of illegal acts during a strike.,NULL,NULL,NULL,1412,1233
1214,Violation of a union security agreement in the Collective Bargaining Agreement (CBA).,NULL,NULL,NULL,1419,1233
1215,Violation of company rules and regulations.,NULL,NULL,NULL,1238,1233
1216,Theft of property owned by a co-employee.,"This is a ground analogous to serious misconduct. (John Hancock Life Insurance Corporation v. Davis, G.R. No. 169549, 3 September 2008)",NULL,NULL,1234,1233
1217,"Gross incompetence, inefficiency, or ineptitude.","This is a ground analogous to gross neglect of duties. (Lim v. NLRC, G.R. No. 118434, 26 July 1996)",NULL,NULL,1242,1233
1337,"Yes, fair and reasonable criteria was used.",NULL,NULL,NULL,1443,1442
1338,"No, fair and equitable criteria was not used.",NULL,NULL,1634,NULL,1442
1416,"Yes, I was terminated as a seasonal employee.",NULL,NULL,NULL,1584,1579
1219,Attitude problem.,"Attitude problem has been applied as a basis for dismissal on the ground of loss of trust and confidence. (Reyes-Rayel v. Philippine Luen Thai Holdings Corp., G.R. No. 174893, 11 July 2012)",NULL,NULL,1401,1233
1220,I contracted a disease.,NULL,NULL,NULL,1428,1233
1221,"Yes, it was.",NULL,NULL,NULL,1235,1234
1222,"No, it was not.",NULL,NULL,1608,NULL,1234
1223,"Yes, it was.",NULL,NULL,NULL,1236,1235
1224,"No, it was not.",NULL,NULL,1608,NULL,1235
1225,"Yes, it did.",NULL,NULL,NULL,1237,1236
1226,"No, it did not.",NULL,NULL,1608,NULL,1236
1227,"Yes, it was.",NULL,NULL,1609,NULL,1237
1228,"No, it was not.",NULL,NULL,1608,NULL,1237
1229,"Yes, I did.",NULL,NULL,NULL,1239,1238
1230,"No, I did not.",NULL,NULL,1610,NULL,1238
1231,"Yes, it was.",NULL,NULL,NULL,1240,1239
1232,"No, it was not.",NULL,NULL,1610,NULL,1239
1233,"Yes, it was.",NULL,NULL,NULL,1241,1240
1234,"No, it was not.",NULL,NULL,1610,NULL,1240
1235,"Yes, it was.",NULL,NULL,1611,NULL,1241
1236,"No, it was not.",NULL,NULL,1610,NULL,1241
1237,"Yes, it was.",NULL,NULL,NULL,1730,1242
1238,"No, it was not.",NULL,NULL,1612,NULL,1242
1239,"Yes, it was.",NULL,NULL,1613,NULL,1243
1240,"No, it was not.",NULL,NULL,1612,NULL,1243
1241,"Yes, I did.",NULL,NULL,NULL,1245,1244
1242,"No, I did not.",NULL,NULL,1614,NULL,1244
1243,"Yes, it was.",NULL,NULL,NULL,1246,1245
1244,"No, it was not.",NULL,NULL,1614,NULL,1245
1245,"Yes, I did.",NULL,NULL,1615,NULL,1246
1246,"No, I did not.",NULL,NULL,1614,NULL,1246
1247,"Yes, I was dishonest or deceptive.",NULL,NULL,NULL,1248,1247
1248,"No, I was not.",NULL,NULL,1616,NULL,1247
1249,"Yes, I did.",NULL,NULL,NULL,1250,1248
1250,"No, I did not.",NULL,NULL,NULL,1249,1248
1251,"Yes, I did.",NULL,NULL,NULL,1250,1249
1252,"No, I did not.",NULL,NULL,1616,NULL,1249
1253,"Yes, it was.",NULL,NULL,1617,NULL,1250
1254,"No, it was not.",NULL,NULL,1616,NULL,1250
1255,"Yes, I am.",NULL,NULL,NULL,1402,1401
1257,"Yes, I did.",NULL,NULL,NULL,1403,1402
1258,"No, I did not.",NULL,NULL,1618,NULL,1402
1259,"Yes, I did.",NULL,NULL,NULL,1404,1403
1260,"No, I did not.",NULL,NULL,1618,NULL,1403
1261,"Yes, I do.",NULL,NULL,1618,NULL,1404
1263,"Yes, it was.",NULL,NULL,1619,NULL,1405
1264,"No, it was not. ",NULL,NULL,1618,NULL,1405
1265,"Yes, I did.",NULL,NULL,1621,NULL,1406
1266,"No, I did not.",NULL,NULL,NULL,1407,1406
1267,"Yes, I did.",NULL,NULL,1621,NULL,1407
1269,"Yes, I did.",NULL,NULL,1621,NULL,1408
1270,"No, I did not.",NULL,NULL,1620,NULL,1408
1271,"Yes, I did.",NULL,NULL,NULL,1410,1409
1272,"No, I did not.",NULL,NULL,1623,NULL,1409
1274,"No, I did not.",NULL,NULL,1623,NULL,1410
1275,"Yes, I am.",NULL,NULL,1622,NULL,1411
1276,"No, I am not.",NULL,NULL,1624,NULL,1411
1277,"Yes, I did.",NULL,NULL,1625,NULL,1412
1278,"No, I did not.",NULL,NULL,NULL,1413,1412
1280,"No, I did not.",NULL,NULL,NULL,1414,1413
1281,"Yes, I did.",NULL,NULL,1625,NULL,1414
1282,"No, I did not.",NULL,NULL,NULL,1415,1414
1283,"Yes, I did.",NULL,NULL,1625,NULL,1415
1284,"No, I did not.",NULL,NULL,1626,NULL,1415
1286,The Secretary certified it to the National Labor Relations Commission.,NULL,NULL,NULL,1418,1416
1287,"Yes, I did.",NULL,NULL,1628,NULL,1417
1288,"No, I did not.",NULL,NULL,1627,NULL,1417
1289,"Yes, I did.",NULL,NULL,1628,NULL,1418
1290,"No, I did not.",NULL,NULL,1627,NULL,1418
1291,"Yes, there is.",NULL,NULL,NULL,1420,1419
1293,"Yes, I am.",NULL,NULL,1629,NULL,1420
1294,"No, I am not.",NULL,NULL,NULL,1421,1420
1295,"Yes, I am.",NULL,NULL,1629,NULL,1421
1296,"No, I am not.",NULL,NULL,NULL,1422,1421
1297,"Yes, I was.",NULL,NULL,1629,NULL,1422
1298,"No, I was not.",NULL,NULL,NULL,1423,1422
1300,"No, I was not.",NULL,NULL,NULL,1425,1423
1301,"Yes, I was.",NULL,NULL,1629,NULL,1424
1302,"No, I was not.",NULL,NULL,NULL,1425,1424
1303,"Yes, I was.",NULL,NULL,NULL,1426,1425
1304,"No, I was not.",NULL,NULL,NULL,1427,1425
1306,"No, I was not.",NULL,NULL,1629,NULL,1426
1308,"No, the employer was the one that initiated my dismissal.",NULL,NULL,1629,NULL,1427
1309,"Yes, I am.",NULL,NULL,NULL,1429,1428
1310,"No, I am not.",NULL,NULL,1631,NULL,1428
1311,"Yes, it is.",NULL,NULL,NULL,1432,1429
1312,"No, it is not.",NULL,NULL,NULL,1430,1429
1313,"Yes, it is.",NULL,NULL,NULL,1432,1430
1314,"No, it is not.",NULL,NULL,NULL,1431,1430
1315,"Yes, it is.",NULL,NULL,NULL,1432,1431
1316,"No, it is not.",NULL,NULL,NULL,1432,1431
1317,"Yes, such a certificate was issued.",NULL,NULL,1632,NULL,1432
1318,"No, such a certificate was not issued.",NULL,NULL,1631,NULL,1432
1319,"Yes, I was. ",NULL,NULL,NULL,1434,1433
1320,"No, I was not.",NULL,NULL,1633,NULL,1433
1321,"Yes, it was.",NULL,NULL,NULL,1435,1434
1323,"Yes, it did.",NULL,NULL,NULL,1436,1435
1324,"No, it did not.",NULL,NULL,1633,NULL,1435
1325,"Yes, it did.",NULL,NULL,NULL,1437,1436
1326,"No, it did not.",NULL,NULL,1633,NULL,1436
1327,"Yes, it was.",NULL,NULL,NULL,1438,1437
1329,"Yes, it was.",NULL,NULL,NULL,1439,1438
1330,"No, it was not. ",NULL,NULL,1633,NULL,1438
1331,"Yes, it was.",NULL,NULL,NULL,1440,1439
1332,"No, it was not.",NULL,NULL,1634,NULL,1439
1333,"Yes, it was.",NULL,NULL,NULL,1441,1440
1335,"Yes, the proper separation pay was given.",NULL,NULL,NULL,1442,1441
1336,"No, the proper separation pay was not given.",NULL,NULL,1634,NULL,1441
1340,Redundancy.,"There is redundancy when the services of an employee are in excess of what is required by a business. It is not always triggered by a decline in business. (Atlantic Gulf and Pacific Company of Manila, Inc. [AG & P] v. NLRC, G.R. No. 127516, 28 May 1999)",NULL,NULL,1446,1443
1341,Retrenchment.,"Retrenchment is resorted to primarily avoid or minimize serious business losses. (Atlantic Gulf and Pacific Company of Manila, Inc. [AG & P] v. NLRC, G.R. No. 127516, 28 May 1999)",NULL,NULL,1551,1443
1342,Closure or cessation of business operations.,NULL,NULL,NULL,1555,1443
1343,"Yes, the purpose was for a justifiable economic reason.",NULL,NULL,NULL,1445,1444
1344,"No, the purpose was not for a justifiable economic reason.",NULL,NULL,1635,NULL,1444
1345,"Yes, it was exercised with malice, arbitrariness, or abuse of discretion.",NULL,NULL,1635,NULL,1445
1346,"No, it was exercised in good faith.",NULL,NULL,1636,NULL,1445
1347,"Yes, it was.",NULL,NULL,1637,NULL,1446
1348,"No, it was not.",NULL,NULL,NULL,1447,1446
1349,"Yes, it was superfluous.",NULL,NULL,1637,NULL,1447
1350,"No, it was not superfluous.",NULL,NULL,NULL,1448,1447
1351,"Yes, it is duplicated.",NULL,NULL,1637,NULL,1448
1352,"No, it is not duplicated.",NULL,NULL,NULL,1449,1448
1353,"Yes, it was a cost-cutting measure.",NULL,NULL,1637,NULL,1449
1354,"No, it was not a cost-cutting measure.",NULL,NULL,NULL,1450,1449
1355,"Yes, it streamlined operations.",NULL,NULL,1637,NULL,1450
1356,"No, it did not streamline operations.",NULL,NULL,1638,NULL,1450
1357,"Yes, he experienced business losses or will be facing losses.",NULL,NULL,NULL,1552,1551
1358,"No, he has not experienced business losses and does not face imminent losses.",NULL,NULL,1639,NULL,1551
1359,"Yes, the losses are substantial.",NULL,NULL,NULL,1553,1552
1360,"No, the losses are not substantial.",NULL,NULL,1639,NULL,1552
1361,"Yes, it will likely prevent the losses.",NULL,NULL,NULL,1554,1553
1362,"No, it will not likely prevent the losses.",NULL,NULL,1639,NULL,1553
1364,"No, they cannot be proved by externally audited financial statements.",NULL,NULL,1639,NULL,1554
1365,The business closed down.,NULL,NULL,NULL,1556,1555
1366,The business operations were suspended.,NULL,NULL,NULL,1559,1555
1367,"Yes, it was due to serious business losses or financial reverses.",NULL,NULL,NULL,1557,1556
1368,"No, it was not due to serious business losses or financial reverses.",NULL,NULL,1641,NULL,1556
1369,It was total.,NULL,NULL,NULL,1558,1557
1370,It was partial.,"This seems to be a case of retrenchment, rather than closure.",NULL,NULL,1551,1557
1371,"Yes, it can.",NULL,NULL,1642,NULL,1558
1372,"No, it cannot.",NULL,NULL,1641,NULL,1558
1373,"Yes, the suspension exceeded more than 6 months.",NULL,NULL,NULL,1556,1559
1374,"No, the suspension did not exceed 6 months.",NULL,NULL,NULL,1560,1559
1375,"Yes, the suspension was bona fide.",NULL,NULL,NULL,1561,1560
1377,"Yes, I did.",NULL,NULL,NULL,1562,1561
1378,"No, I did not.",NULL,NULL,1644,NULL,1561
1379,"Yes, I did.",NULL,NULL,1643,NULL,1562
1380,"No, I did not.",NULL,NULL,1644,NULL,1562
1381,"Yes, I was terminated as a probationary employee.",NULL,NULL,NULL,1564,1563
1383,"Yes, there is a written employment contract that states that I am a probationary employee.",NULL,NULL,NULL,1565,1564
1384,"No, there is no written employment contract that states that I am a probationary employee.",NULL,NULL,1645,NULL,1564
1385,"Yes, there is a provision on the probationary period.",NULL,NULL,NULL,1566,1565
1386,"No, there is no stipulation on the probationary period.",NULL,NULL,1646,NULL,1565
